1,1,2,3,4,5,6
1,60,81,45,77,63,74
2,62,76,60,56,66,80
3,60,75,53,76,67,69
4,64,78,51,69,69,69
5,54,66,71,82,63,64
6,46,80,72,76,55,71
 , , , , , , 
2,1,2,3,4,5,6
1,72,82,38,53,67,88
2,71,64,65,72,54,74
3,70,59,47,82,75,67
4,61,65,58,69,73,74
5,80,56,48,76,77,63
6,58,65,53,74,59,91
 , , , , , , 
3,1,2,3,4,5,6
1,80,65,46,55,56,98
2,69,61,48,66,65,91
3,70,68,48,74,62,78
4,50,53,63,75,72,87
5,76,67,58,58,68,73
6,63,76,36,81,52,92
 , , , , , , 
4,1,2,3,4,5,6
1,66,69,47,51,56,111
2,62,61,61,85,50,81
3,53,51,62,62,65,107
4,58,53,61,76,55,97
5,55,62,63,81,64,75
6,50,63,42,87,56,102
 , , , , , , 
5,1,2,3,4,5,6
1,90,78,37,54,57,84
2,69,56,63,58,84,70
3,62,51,57,70,77,83
4,68,63,65,64,76,64
5,75,47,60,71,75,72
6,67,67,58,61,62,85
 , , , , , , 
6,1,2,3,4,5,6
1,99,67,50,49,59,76
2,69,54,62,68,64,83
3,56,55,72,80,61,76
4,70,58,54,71,72,75
5,67,54,56,66,91,66
6,67,63,51,68,54,97
 , , , , , , 
7,1,2,3,4,5,6
1,96,81,36,47,61,79
2,61,61,52,79,66,81
3,68,56,68,75,60,73
4,68,55,47,70,79,81
5,76,39,62,74,87,62
6,61,71,46,84,55,83
 , , , , , , 
8,1,2,3,4,5,6
1,97,82,26,55,54,86
2,61,53,64,67,65,90
3,64,51,65,87,67,66
4,70,47,52,73,83,75
5,71,53,61,67,82,66
6,70,56,46,97,58,73
 , , , , , , 
9,1,2,3,4,5,6
1,94,72,35,56,56,87
2,55,54,67,81,71,72
3,69,55,51,86,70,69
4,75,50,56,81,64,74
5,61,59,60,62,98,60
6,71,63,54,74,61,77
 , , , , , , 
10,1,2,3,4,5,6
1,89,80,43,64,48,76
2,59,67,66,71,55,82
3,68,53,51,68,77,83
4,50,58,39,82,75,96
5,69,37,72,76,70,76
6,65,59,50,74,59,93
 , , , , , , 
11,1,2,3,4,5,6
1,78,81,37,50,59,95
2,57,61,71,58,75,78
3,66,51,59,72,86,66
4,62,45,60,73,84,76
5,73,45,70,77,63,72
6,71,56,51,76,53,93
 , , , , , , 
12,1,2,3,4,5,6
1,88,76,23,59,66,88
2,63,57,57,86,62,75
3,69,58,63,68,71,71
4,67,56,49,72,72,84
5,63,50,65,69,76,77
6,58,64,54,82,60,82
 , , , , , , 
13,1,2,3,4,5,6
1,95,70,38,49,60,88
2,52,67,65,62,68,86
3,65,53,54,80,70,78
4,62,57,56,76,65,84
5,58,49,54,80,83,76
6,64,58,51,75,57,95
 , , , , , , 
14,1,2,3,4,5,6
1,83,73,34,57,64,89
2,60,58,52,72,75,83
3,68,45,73,67,71,76
4,69,60,58,74,69,70
5,73,66,63,55,77,66
6,62,74,54,67,55,88
 , , , , , , 
15,1,2,3,4,5,6
1,85,66,43,65,59,82
2,62,51,68,72,62,85
3,68,53,58,66,69,86
4,44,65,56,68,91,76
5,76,34,71,78,80,61
6,58,61,48,88,54,91
 , , , , , , 
16,1,2,3,4,5,6
1,86,74,37,63,60,80
2,60,51,47,78,61,103
3,71,45,63,76,68,77
4,62,58,55,69,81,75
5,67,55,70,63,82,63
6,78,64,41,76,47,94
 , , , , , , 
17,1,2,3,4,5,6
1,98,86,39,43,57,77
2,54,51,64,73,70,88
3,64,54,67,65,71,79
4,61,50,63,62,85,79
5,65,49,59,86,76,65
6,66,67,40,75,59,93
 , , , , , , 
