1,1,2,3,4,5,6
1,93,71,49,55,63,69
2,65,67,72,64,70,62
3,77,68,96,44,77,38
4,80,43,68,70,82,57
5,70,57,90,61,70,52
6,84,79,63,70,53,51
 , , , , , , 
2,1,2,3,4,5,6
1,65,96,51,34,61,93
2,56,60,84,53,73,74
3,55,64,108,52,66,55
4,60,74,85,56,62,63
5,53,71,104,36,71,65
6,76,79,57,58,50,80
 , , , , , , 
3,1,2,3,4,5,6
1,60,85,73,58,51,73
2,43,49,127,60,74,47
3,30,41,150,55,87,37
4,67,49,88,74,73,49
5,32,45,158,50,72,43
6,46,64,97,71,59,63
 , , , , , , 
4,1,2,3,4,5,6
1,54,141,46,55,27,77
2,34,56,106,72,75,57
3,2,67,249,3,46,33
4,62,58,57,113,62,48
5,5,36,279,7,39,34
6,20,51,151,54,58,66
 , , , , , , 
5,1,2,3,4,5,6
1,56,96,13,16,96,123
2,70,1,16,137,133,43
3,0,40,278,0,55,27
4,71,21,13,112,115,68
5,2,0,226,5,129,38
6,30,3,38,54,196,79
 , , , , , , 
6,1,2,3,4,5,6
1,33,18,14,27,129,179
2,24,0,11,109,229,27
3,0,13,326,0,42,19
4,42,2,2,89,195,70
5,0,0,168,0,199,33
6,12,0,16,29,300,43
 , , , , , , 
7,1,2,3,4,5,6
1,72,19,0,41,43,225
2,24,0,3,137,202,34
3,0,17,259,0,64,60
4,20,0,1,103,191,85
5,0,0,83,1,232,84
6,3,0,2,52,333,10
 , , , , , , 
8,1,2,3,4,5,6
1,102,10,1,26,8,253
2,4,0,0,194,168,34
3,0,18,239,0,63,80
4,6,0,0,122,223,49
5,1,0,55,1,167,176
6,0,0,1,46,348,5
 , , , , , , 
9,1,2,3,4,5,6
1,107,12,0,12,4,265
2,16,0,0,148,182,54
3,0,16,260,0,39,85
4,10,0,0,105,239,46
5,0,3,62,0,96,239
6,0,0,2,37,357,4
 , , , , , , 
10,1,2,3,4,5,6
1,133,28,0,1,0,238
2,30,0,0,141,92,137
3,0,94,126,0,8,172
4,22,0,0,81,179,118
5,0,25,22,2,9,342
6,0,0,2,54,304,40
 , , , , , , 
11,1,2,3,4,5,6
1,209,12,0,1,0,178
2,53,0,0,195,61,91
3,0,60,89,0,7,244
4,26,0,0,123,126,125
5,3,13,12,0,8,364
6,2,0,1,114,258,25
 , , , , , , 
12,1,2,3,4,5,6
1,148,4,0,18,0,230
2,20,0,0,211,85,84
3,0,39,131,0,24,206
4,7,0,0,99,206,88
5,1,14,16,0,21,348
6,0,0,1,80,316,3
 , , , , , , 
13,1,2,3,4,5,6
1,141,15,0,1,0,243
2,11,0,0,192,65,132
3,0,102,94,0,2,202
4,18,0,0,93,124,165
5,0,23,22,0,6,349
6,0,0,4,51,309,36
 , , , , , , 
14,1,2,3,4,5,6
1,54,22,0,12,2,310
2,2,0,1,127,203,67
3,0,17,306,0,28,49
4,0,0,0,56,302,42
5,0,19,82,0,35,264
6,0,0,2,36,360,2
 , , , , , , 
