1,1,2,3,4,5,6
1,69,78,36,50,82,85
2,55,74,56,53,86,76
3,55,68,48,57,96,76
4,49,63,52,52,115,69
5,73,57,47,61,90,72
6,65,64,53,70,67,81
 , , , , , , 
2,1,2,3,4,5,6
1,78,65,47,66,76,68
2,57,53,62,70,90,68
3,62,56,61,68,87,66
4,64,62,52,65,84,73
5,77,48,72,62,82,59
6,67,57,58,71,64,83
 , , , , , , 
3,1,2,3,4,5,6
1,96,82,34,68,66,54
2,60,68,73,78,66,55
3,78,70,70,77,61,44
4,78,64,75,74,56,53
5,72,52,77,69,71,59
6,92,63,57,81,45,62
 , , , , , , 
4,1,2,3,4,5,6
1,74,89,39,57,58,83
2,55,52,83,74,55,81
3,51,54,75,62,83,75
4,57,56,82,59,67,79
5,70,61,92,60,64,53
6,78,53,57,77,54,81
 , , , , , , 
5,1,2,3,4,5,6
1,101,87,35,46,61,70
2,54,67,104,51,67,57
3,65,57,89,53,85,51
4,65,57,87,63,69,59
5,74,56,72,49,79,70
6,81,75,70,59,53,62
 , , , , , , 
6,1,2,3,4,5,6
1,105,75,39,62,43,76
2,52,55,94,67,79,53
3,54,54,87,58,79,68
4,59,65,86,70,66,54
5,73,55,88,58,72,54
6,81,49,77,72,60,61
 , , , , , , 
7,1,2,3,4,5,6
1,91,98,45,51,42,73
2,50,39,116,82,57,56
3,55,57,88,62,79,59
4,68,62,93,63,52,62
5,82,43,97,60,65,53
6,87,46,79,85,40,63
 , , , , , , 
8,1,2,3,4,5,6
1,95,110,50,48,41,56
2,51,33,123,85,62,46
3,49,60,95,58,82,56
4,57,64,90,74,55,60
5,80,38,101,58,80,43
6,101,24,91,87,56,41
 , , , , , , 
9,1,2,3,4,5,6
1,102,76,53,65,54,50
2,40,8,108,110,97,37
3,19,77,137,31,79,57
4,37,59,103,73,72,56
5,49,23,119,81,82,46
6,83,6,60,154,80,17
 , , , , , , 
10,1,2,3,4,5,6
1,98,38,37,68,88,71
2,41,5,91,129,112,22
3,3,95,153,11,41,97
4,45,33,90,80,96,56
5,22,21,159,41,83,74
6,53,1,68,171,91,16
 , , , , , , 
11,1,2,3,4,5,6
1,114,34,39,62,85,66
2,48,1,90,106,121,34
