1,1,2,3,4,5,6
1,36,72,139,64,79,10
2,25,58,198,48,63,8
3,42,112,90,78,68,10
4,35,86,146,65,55,13
5,44,92,113,59,75,17
6,42,101,117,77,57,6
 , , , , , , 
2,1,2,3,4,5,6
1,80,84,140,63,23,10
2,26,55,216,70,28,5
3,128,85,89,58,23,17
4,54,65,177,80,21,3
5,140,96,85,46,22,11
6,109,100,89,70,18,14
 , , , , , , 
3,1,2,3,4,5,6
1,48,38,161,80,23,50
2,6,7,276,54,16,41
3,41,40,163,82,17,57
4,21,17,225,73,18,46
5,58,38,137,68,25,74
6,30,33,180,73,16,68
 , , , , , , 
4,1,2,3,4,5,6
1,74,29,99,77,56,65
2,1,2,274,63,19,41
3,37,26,119,121,33,64
4,20,3,192,92,34,59
5,44,28,126,91,37,74
6,27,14,157,107,30,65
 , , , , , , 
5,1,2,3,4,5,6
1,14,29,65,72,41,179
2,0,2,228,9,12,149
3,1,11,77,25,31,255
4,2,12,138,48,45,155
5,1,8,115,15,29,232
6,0,7,120,16,21,236
 , , , , , , 
6,1,2,3,4,5,6
1,11,101,99,35,104,50
2,0,9,216,0,26,149
3,0,14,98,0,48,240
4,2,44,138,17,86,113
5,0,2,92,0,36,270
6,0,8,104,1,58,229
 , , , , , , 
7,1,2,3,4,5,6
1,37,96,37,185,42,3
2,0,56,190,16,80,58
3,0,122,48,12,113,105
4,8,100,85,108,78,21
5,1,59,62,2,96,180
6,0,45,93,3,114,145
 , , , , , , 
8,1,2,3,4,5,6
1,6,102,71,53,165,3
2,1,21,170,2,165,41
3,1,49,48,2,241,59
4,11,63,95,55,156,20
5,0,14,57,1,131,197
6,0,5,150,1,95,149
 , , , , , , 
9,1,2,3,4,5,6
1,18,68,100,41,162,11
2,0,10,163,0,118,109
3,1,48,22,2,185,142
4,21,74,48,52,152,53
5,1,8,43,1,96,251
6,0,0,131,0,26,243
 , , , , , , 
10,1,2,3,4,5,6
1,13,29,127,69,147,15
2,0,4,234,1,68,93
3,0,30,36,1,112,221
4,12,25,116,50,129,68
5,1,4,42,1,49,303
6,0,0,146,1,23,230
 , , , , , , 
11,1,2,3,4,5,6
1,15,29,105,50,193,8
2,0,9,150,5,188,48
3,2,43,22,2,207,124
4,13,33,85,61,177,31
5,0,6,43,1,159,191
6,0,0,160,0,90,150
 , , , , , , 
12,1,2,3,4,5,6
1,16,86,49,95,147,7
2,2,48,139,14,169,28
3,1,98,22,12,185,82
4,20,64,66,115,120,15
5,1,12,50,4,186,147
6,0,1,174,2,106,117
 , , , , , , 
13,1,2,3,4,5,6
1,19,9,82,115,174,1
2,1,3,132,4,234,26
3,5,36,11,5,270,73
4,24,18,40,85,216,17
5,2,4,27,2,277,88
6,0,0,176,0,126,98
 , , , , , , 
14,1,2,3,4,5,6
1,51,17,33,168,131,0
2,2,7,158,11,200,22
3,0,50,19,1,199,131
4,23,26,54,115,166,16
5,0,4,66,2,232,96
6,0,0,244,2,95,59
 , , , , , , 
15,1,2,3,4,5,6
1,11,19,123,49,178,20
2,0,10,169,4,157,60
3,3,46,29,5,180,137
4,36,28,84,68,146,38
5,1,1,66,2,219,111
6,0,0,206,0,119,75
 , , , , , , 
16,1,2,3,4,5,6
1,9,10,35,149,194,3
2,1,3,86,13,264,33
3,0,77,1,5,213,104
4,30,20,36,93,199,22
5,1,5,11,3,271,109
6,0,0,104,4,225,67
 , , , , , , 
17,1,2,3,4,5,6
1,89,20,29,133,128,1
2,4,19,139,13,214,11
3,7,143,12,6,192,40
4,44,38,56,117,134,11
5,5,18,38,2,301,36
6,0,0,176,1,183,40
 , , , , , , 
18,1,2,3,4,5,6
1,29,4,26,238,103,0
2,4,1,108,33,249,5
3,8,30,13,15,292,42
4,34,10,35,159,156,6
5,2,3,26,2,343,24
6,0,0,114,5,245,36
 , , , , , , 
19,1,2,3,4,5,6
1,29,1,78,107,181,4
2,3,0,131,12,247,7
3,13,25,6,7,308,41
4,34,11,59,115,167,14
5,2,3,39,2,312,42
6,0,0,116,2,239,43
 , , , , , , 
20,1,2,3,4,5,6
1,31,89,65,107,92,16
2,4,30,136,11,159,60
3,2,148,14,7,113,116
4,33,88,59,113,73,34
5,3,9,54,3,244,87
6,0,0,168,6,159,67
 , , , , , , 
21,1,2,3,4,5,6
1,21,9,53,161,146,10
2,2,1,152,13,187,45
3,2,31,10,6,209,142
4,26,9,44,126,160,35
5,1,2,36,2,230,129
6,0,0,179,3,101,117
 , , , , , , 
22,1,2,3,4,5,6
1,57,50,17,169,106,1
2,3,40,65,32,244,16
3,12,112,8,10,198,60
4,36,60,24,153,114,13
5,2,5,22,2,313,56
6,0,0,78,8,261,53
 , , , , , , 
23,1,2,3,4,5,6
1,27,17,55,170,128,3
2,1,8,141,10,208,32
3,6,74,11,7,203,99
4,25,30,48,148,125,24
5,1,2,48,2,271,76
6,0,0,148,2,152,98
 , , , , , , 
24,1,2,3,4,5,6
1,12,20,67,171,128,2
2,1,4,179,15,179,22
3,2,80,14,7,222,75
4,21,32,53,146,128,20
5,1,2,53,3,292,49
6,0,0,196,4,151,49
 , , , , , , 
25,1,2,3,4,5,6
1,30,33,77,153,99,8
2,3,8,202,10,138,39
3,1,85,28,10,148,128
4,15,38,96,139,82,30
5,1,3,56,5,221,114
6,0,0,143,6,171,80
 , , , , , , 
26,1,2,3,4,5,6
1,24,4,37,174,160,1
2,2,1,69,14,309,5
3,21,6,1,12,352,8
4,25,9,25,154,180,7
5,2,0,12,4,373,9
6,0,0,74,1,305,20
 , , , , , , 
27,1,2,3,4,5,6
1,59,44,24,123,145,5
2,1,16,116,3,203,61
3,5,113,13,5,164,100
4,27,45,51,134,116,27
5,3,9,43,2,225,118
6,0,0,115,0,189,96
 , , , , , , 
28,1,2,3,4,5,6
1,10,7,65,183,134,1
2,1,1,148,5,221,24
3,4,52,6,6,234,98
4,18,16,59,140,150,17
5,2,2,48,2,292,54
6,0,0,148,1,181,70
 , , , , , , 
29,1,2,3,4,5,6
1,30,33,111,106,120,0
2,1,7,139,3,244,6
3,7,124,12,4,221,32
4,38,33,86,99,139,5
5,2,5,60,3,314,16
6,0,0,184,0,207,9
 , , , , , , 
30,1,2,3,4,5,6
1,2,2,86,75,233,2
2,0,0,127,0,261,12
3,0,17,1,0,334,48
4,10,7,38,79,256,10
5,0,0,42,1,331,26
6,0,0,217,1,156,26
 , , , , , , 
31,1,2,3,4,5,6
1,31,20,65,176,106,2
2,1,4,130,15,237,13
3,7,65,7,8,236,77
4,23,20,50,140,153,14
5,2,2,33,2,319,42
6,0,0,145,2,202,51
 , , , , , , 
32,1,2,3,4,5,6
1,23,13,56,151,153,4
2,1,1,103,5,268,22
3,1,21,7,1,211,159
4,9,10,58,108,186,29
5,1,1,33,1,265,99
6,0,0,105,1,230,64
 , , , , , , 
33,1,2,3,4,5,6
1,46,0,28,244,81,1
2,5,0,123,28,237,7
3,20,32,12,10,286,40
4,36,5,39,170,141,9
5,5,0,44,3,321,27
6,0,0,183,3,185,29
 , , , , , , 
34,1,2,3,4,5,6
1,49,23,71,194,58,5
2,1,6,228,13,124,28
3,12,90,33,8,163,94
4,29,35,79,144,86,27
5,3,4,96,2,219,76
6,0,0,243,3,98,56
 , , , , , , 
35,1,2,3,4,5,6
1,32,10,38,197,117,6
2,1,1,161,6,183,48
3,3,38,17,4,195,143
4,14,17,66,142,128,33
5,1,2,58,1,239,99
6,0,0,122,2,156,120
 , , , , , , 
