1,1,2,3,4,5,6
1,58,88,77,67,40,70
2,53,84,71,73,52,67
3,48,83,77,82,44,66
4,69,65,75,70,54,67
5,57,61,77,84,53,68
6,57,72,75,76,47,73
 , , , , , , 
2,1,2,3,4,5,6
1,54,125,45,42,51,83
2,79,56,75,76,67,47
3,71,68,70,69,68,54
4,109,52,48,79,62,50
5,86,36,77,66,70,65
6,83,54,53,96,57,57
 , , , , , , 
3,1,2,3,4,5,6
1,15,171,97,18,35,64
2,71,40,30,124,73,62
3,28,84,68,56,89,75
4,168,7,7,132,53,33
5,62,37,75,68,100,58
6,64,60,46,76,81,73
 , , , , , , 
4,1,2,3,4,5,6
1,3,146,104,2,63,82
2,90,14,8,119,101,68
3,11,65,78,24,123,99
4,169,4,3,144,47,33
5,26,12,82,25,155,100
6,63,18,35,66,128,90
 , , , , , , 
5,1,2,3,4,5,6
1,0,117,140,0,70,73
2,56,4,9,79,201,51
3,0,48,181,0,127,44
4,120,2,2,123,109,44
5,6,2,134,4,219,35
6,27,3,53,44,227,46
 , , , , , , 
6,1,2,3,4,5,6
1,1,66,124,2,114,93
2,56,0,9,56,215,64
3,0,28,178,0,151,43
4,111,0,0,113,130,46
5,2,0,150,3,228,17
6,17,0,33,42,299,9
 , , , , , , 
7,1,2,3,4,5,6
1,0,80,118,0,109,93
2,34,1,5,23,235,102
3,0,18,220,0,141,21
4,102,0,0,86,166,46
5,1,0,81,2,309,7
6,9,0,27,15,346,3
 , , , , , , 
8,1,2,3,4,5,6
1,0,58,174,0,92,76
2,23,2,4,22,191,158
3,0,21,267,0,98,14
4,87,0,0,83,174,56
5,1,0,113,0,261,25
6,1,0,62,7,328,2
 , , , , , , 
9,1,2,3,4,5,6
1,0,78,75,0,88,159
2,16,1,3,23,118,239
3,0,27,165,0,165,43
4,66,0,0,76,175,83
5,0,0,112,0,245,43
6,1,0,27,10,357,5
 , , , , , , 
10,1,2,3,4,5,6
1,0,115,84,0,55,146
2,25,1,1,12,69,292
3,0,41,181,0,118,60
4,73,0,0,69,178,80
5,0,2,122,0,170,106
6,2,0,23,15,355,5
 , , , , , , 
11,1,2,3,4,5,6
1,0,62,88,0,108,142
2,10,0,4,21,158,207
3,0,16,194,0,166,24
4,29,0,0,97,239,35
5,0,0,121,1,247,31
6,0,0,17,6,377,0
 , , , , , , 
12,1,2,3,4,5,6
1,1,89,69,0,63,178
2,15,0,2,26,117,240
3,0,31,175,0,147,47
4,22,0,0,83,236,59
5,0,0,102,1,193,104
6,0,0,18,16,361,5
 , , , , , , 
13,1,2,3,4,5,6
1,2,47,109,0,144,98
2,13,0,4,28,192,163
3,0,4,228,0,159,9
4,13,0,0,87,286,14
5,0,0,158,0,198,44
6,0,0,21,7,370,2
 , , , , , , 
14,1,2,3,4,5,6
1,3,63,71,0,127,136
2,10,0,1,45,137,207
3,0,14,151,0,202,33
4,15,0,0,103,265,17
5,0,2,149,0,187,62
6,0,0,14,29,355,2
 , , , , , , 
15,1,2,3,4,5,6
1,2,62,91,0,121,124
2,23,0,0,50,107,220
3,0,15,181,0,180,24
4,36,0,0,111,226,27
5,0,1,77,0,223,99
6,0,0,23,19,357,1
 , , , , , , 
16,1,2,3,4,5,6
1,3,53,91,0,86,167
2,15,0,2,43,47,293
3,0,14,239,0,107,40
4,28,0,0,118,224,30
5,0,13,145,1,54,187
6,0,0,40,35,321,4
 , , , , , , 
17,1,2,3,4,5,6
1,2,137,31,0,18,212
2,14,0,0,15,14,357
3,0,68,157,0,55,120
4,58,0,0,120,151,71
5,2,15,88,0,33,262
6,0,0,41,46,273,40
 , , , , , , 
18,1,2,3,4,5,6
1,3,75,81,0,106,135
2,22,0,3,44,84,247
3,0,15,205,0,142,38
4,33,0,0,102,247,18
5,2,5,106,1,153,133
6,0,0,22,31,343,4
 , , , , , , 
19,1,2,3,4,5,6
1,6,66,59,1,108,160
2,22,0,2,63,91,222
3,0,19,194,0,145,42
4,48,0,0,135,208,9
5,4,4,87,1,169,135
6,0,0,27,33,337,3
 , , , , , , 
20,1,2,3,4,5,6
1,0,147,57,0,26,170
2,4,0,3,33,41,319
3,0,38,237,0,69,56
4,20,0,0,116,228,36
5,0,10,154,1,60,175
6,0,0,61,23,292,24
 , , , , , , 
21,1,2,3,4,5,6
1,5,83,93,0,91,128
2,22,0,1,83,74,220
3,0,20,218,0,125,37
4,24,0,0,152,211,13
5,2,5,116,2,148,127
6,0,0,25,37,332,6
 , , , , , , 
22,1,2,3,4,5,6
1,3,102,97,0,102,96
2,14,0,3,55,101,227
3,0,14,248,0,114,24
4,25,0,0,120,247,8
5,3,3,147,2,146,99
6,0,0,43,21,333,3
 , , , , , , 
23,1,2,3,4,5,6
1,9,90,69,1,90,141
2,16,0,3,60,83,238
3,0,15,228,0,110,47
4,37,0,0,127,223,13
5,1,9,104,2,134,150
6,0,0,24,37,333,6
 , , , , , , 
24,1,2,3,4,5,6
1,14,86,57,1,114,128
2,49,0,1,75,64,211
3,0,23,135,0,189,53
4,69,0,0,140,182,9
5,14,6,52,2,145,181
6,0,0,7,56,335,2
 , , , , , , 
25,1,2,3,4,5,6
1,1,61,151,0,124,63
2,3,0,5,48,139,205
3,0,8,251,0,129,12
4,5,0,0,89,291,15
5,0,1,157,2,159,81
6,0,0,29,9,362,0
 , , , , , , 
