1,1,2,3,4,5,6
1,41,41,160,28,76,54
2,35,43,179,29,68,46
3,71,61,94,22,65,87
4,47,56,146,31,67,53
5,56,49,112,31,66,86
6,59,77,100,25,62,77
 , , , , , , 
2,1,2,3,4,5,6
1,21,66,251,20,11,31
2,9,31,295,16,17,32
3,34,99,184,20,20,43
4,23,46,256,21,24,30
5,38,92,183,25,21,41
6,48,91,175,16,17,53
 , , , , , , 
3,1,2,3,4,5,6
1,22,83,53,94,57,91
2,2,7,239,10,49,93
3,1,11,187,11,66,124
4,5,18,203,17,67,90
5,0,3,205,6,51,135
6,0,9,227,6,32,126
 , , , , , , 
4,1,2,3,4,5,6
1,23,61,10,129,165,12
2,5,65,79,22,156,73
3,0,26,72,0,38,264
4,2,81,60,19,116,122
5,0,71,42,0,102,185
6,4,99,24,17,171,85
 , , , , , , 
5,1,2,3,4,5,6
1,18,20,11,186,149,16
2,1,18,127,48,149,57
3,0,12,73,0,8,307
4,0,39,80,11,110,160
5,0,34,78,0,49,239
6,2,48,50,23,224,53
 , , , , , , 
6,1,2,3,4,5,6
1,8,15,29,117,218,13
2,1,2,152,39,186,20
3,0,19,49,0,57,275
4,0,8,86,16,182,108
5,1,10,55,0,107,227
6,0,0,179,7,203,11
 , , , , , , 
7,1,2,3,4,5,6
1,31,31,5,122,198,13
2,3,5,64,31,259,38
3,0,7,25,0,55,313
4,2,13,43,14,147,181
5,0,6,17,0,141,236
6,0,0,60,8,304,28
 , , , , , , 
8,1,2,3,4,5,6
1,11,8,19,209,149,4
2,2,0,101,41,245,11
3,0,10,73,0,132,185
4,1,3,69,27,229,71
5,0,0,36,0,228,136
6,0,0,73,17,306,4
 , , , , , , 
9,1,2,3,4,5,6
1,46,74,19,186,67,8
2,6,11,100,53,190,40
3,0,31,35,0,54,280
4,5,11,52,16,170,146
5,0,8,11,0,148,233
6,0,1,50,9,322,18
 , , , , , , 
10,1,2,3,4,5,6
1,8,5,60,270,50,7
2,0,0,147,44,196,13
3,0,12,96,0,59,233
4,1,0,119,33,185,62
5,0,2,25,0,202,171
6,0,0,179,3,198,20
 , , , , , , 
11,1,2,3,4,5,6
1,52,32,8,233,63,12
2,2,2,38,82,260,16
3,0,50,31,1,61,257
4,3,9,32,51,194,111
5,0,1,6,1,283,109
6,0,0,31,10,341,18
 , , , , , , 
12,1,2,3,4,5,6
1,18,18,24,302,31,7
2,4,4,67,75,231,19
3,0,60,23,1,108,208
4,5,9,28,56,220,82
5,0,4,2,0,289,105
6,0,0,5,8,385,2
 , , , , , , 
13,1,2,3,4,5,6
1,61,6,7,278,44,4
2,6,0,44,87,257,6
3,1,5,88,3,129,174
4,6,0,53,69,220,52
5,0,0,4,1,325,70
6,0,0,15,3,370,12
 , , , , , , 
14,1,2,3,4,5,6
1,69,48,15,176,77,15
2,3,4,36,20,311,26
3,0,71,30,2,139,158
4,3,10,17,25,255,90
5,0,0,2,0,329,69
6,0,0,29,4,359,8
 , , , , , , 
15,1,2,3,4,5,6
1,10,20,43,256,49,22
2,0,0,77,46,250,27
3,0,13,37,2,85,263
4,2,1,32,42,239,84
5,0,1,6,0,248,145
6,0,0,83,9,293,15
 , , , , , , 
16,1,2,3,4,5,6
1,20,35,9,277,48,11
2,0,1,34,34,316,15
3,0,65,26,2,88,219
4,2,5,27,40,258,68
5,0,1,7,0,293,99
6,0,0,29,21,332,18
 , , , , , , 
17,1,2,3,4,5,6
1,38,26,18,271,38,9
2,4,1,33,34,310,18
3,0,68,39,0,79,214
4,5,5,20,40,250,80
5,0,4,2,0,272,122
6,0,0,30,15,344,11
 , , , , , , 
18,1,2,3,4,5,6
1,3,25,56,285,13,18
2,1,2,127,80,157,33
3,0,65,25,0,15,295
4,1,9,58,37,175,120
5,0,10,2,0,169,219
6,0,0,66,47,263,24
 , , , , , , 
19,1,2,3,4,5,6
1,23,39,25,279,25,9
2,1,0,59,57,257,26
3,0,54,32,2,41,271
4,3,6,33,37,211,110
5,0,4,7,1,200,188
6,0,0,45,26,318,11
 , , , , , , 
20,1,2,3,4,5,6
1,60,42,7,244,41,6
2,4,1,46,43,294,12
3,0,60,19,1,133,187
4,6,4,25,36,252,77
5,0,2,0,0,330,68
6,0,0,24,12,359,5
 , , , , , , 
21,1,2,3,4,5,6
1,29,39,8,283,35,6
2,0,2,66,50,261,21
3,0,50,46,1,64,239
4,5,7,35,38,208,107
5,0,2,2,0,258,138
6,0,0,39,24,331,6
 , , , , , , 
22,1,2,3,4,5,6
1,10,15,17,284,63,11
2,0,1,44,34,305,16
3,0,55,16,0,36,293
4,2,9,15,41,238,95
5,0,4,6,0,192,198
6,0,0,53,21,304,22
 , , , , , , 
23,1,2,3,4,5,6
1,19,5,11,277,84,4
2,1,0,30,39,328,2
3,2,39,40,6,182,131
4,6,1,14,32,312,35
5,0,0,5,0,374,21
6,0,0,59,18,321,2
 , , , , , , 
24,1,2,3,4,5,6
1,86,121,4,167,18,4
2,10,41,37,47,239,26
3,0,267,9,2,14,108
4,7,50,17,43,161,122
5,0,32,19,0,162,187
6,0,1,153,24,209,13
 , , , , , , 
25,1,2,3,4,5,6
1,11,17,24,265,66,17
2,0,1,65,22,287,25
3,1,159,18,0,44,178
4,6,13,17,33,227,104
5,1,4,9,0,272,114
6,0,0,56,13,323,8
 , , , , , , 
26,1,2,3,4,5,6
1,42,32,13,275,31,7
2,5,1,54,42,275,23
3,1,87,16,1,78,217
4,6,4,24,35,238,93
5,0,4,3,0,272,121
6,0,0,65,10,310,15
 , , , , , , 
27,1,2,3,4,5,6
1,21,29,24,292,26,8
2,0,2,95,50,235,18
3,0,52,59,0,61,228
4,2,0,48,34,224,92
5,0,3,15,1,254,127
6,0,0,115,18,260,7
 , , , , , , 
28,1,2,3,4,5,6
1,42,39,12,274,27,6
2,2,4,57,59,260,18
3,0,94,52,0,37,217
4,3,7,44,36,213,97
5,0,3,22,0,275,100
6,0,0,67,19,307,7
 , , , , , , 
29,1,2,3,4,5,6
1,49,37,8,273,27,6
2,2,4,84,46,239,25
3,0,103,65,1,45,186
4,4,6,58,43,187,102
5,1,7,27,1,237,127
6,0,0,55,13,319,13
 , , , , , , 
30,1,2,3,4,5,6
1,18,34,13,286,38,11
2,0,2,79,44,242,33
3,0,46,46,0,47,261
4,2,1,45,39,186,127
5,0,3,22,0,222,153
6,0,0,59,21,306,14
 , , , , , , 
