1,1,2,3,4,5,6
1,2,89,121,1,66,121
2,5,0,3,141,41,210
3,0,25,292,0,29,54
4,25,1,4,89,13,268
5,0,0,57,9,67,267
6,0,0,17,46,267,70
 , , , , , , 
2,1,2,3,4,5,6
1,0,133,90,1,153,23
2,1,0,6,0,254,139
3,0,107,222,0,57,14
4,2,1,1,0,352,44
5,0,7,33,1,180,179
6,0,0,49,7,302,42
 , , , , , , 
3,1,2,3,4,5,6
1,16,77,166,117,17,7
2,10,0,7,42,233,108
3,0,37,293,0,48,22
4,24,2,1,5,321,47
5,8,5,41,11,130,205
6,0,0,57,73,256,14
 , , , , , , 
4,1,2,3,4,5,6
1,46,89,119,121,22,3
2,18,0,5,42,140,195
3,0,152,132,0,33,83
4,46,5,0,3,275,71
5,5,8,38,5,146,198
6,0,0,42,113,219,26
 , , , , , , 
5,1,2,3,4,5,6
1,1,143,215,27,10,4
2,0,0,7,30,115,248
3,0,15,342,0,1,42
4,4,1,7,10,251,127
5,0,3,161,2,20,214
6,0,0,70,173,143,14
 , , , , , , 
6,1,2,3,4,5,6
1,6,50,140,192,3,9
2,16,0,0,116,55,213
3,0,37,202,0,22,139
4,47,2,0,10,222,119
5,5,11,31,6,33,314
6,0,0,33,210,134,23
 , , , , , , 
7,1,2,3,4,5,6
1,18,102,124,146,3,7
2,17,0,0,67,69,247
3,0,31,304,0,22,43
4,44,0,0,7,246,103
5,7,9,80,3,65,236
6,1,0,30,140,194,35
 , , , , , , 
8,1,2,3,4,5,6
1,11,80,157,136,9,7
2,6,0,2,26,106,260
3,0,12,327,1,12,48
4,17,1,0,4,271,107
5,4,5,85,1,60,245
6,0,0,39,146,193,22
 , , , , , , 
9,1,2,3,4,5,6
1,10,68,155,156,6,5
2,6,0,0,48,91,255
3,0,30,294,0,9,67
4,13,2,2,5,230,148
5,3,3,83,2,40,269
6,0,0,38,189,156,17
 , , , , , , 
10,1,2,3,4,5,6
1,11,63,155,159,9,3
2,7,0,2,43,103,245
3,0,29,303,0,13,55
4,19,0,0,2,243,136
5,4,4,75,2,60,255
6,0,0,46,146,189,19
 , , , , , , 
11,1,2,3,4,5,6
1,10,67,162,154,6,1
2,5,0,2,45,99,249
3,0,22,323,0,10,45
4,10,1,0,4,250,135
5,3,5,83,2,63,244
6,0,0,50,165,174,11
 , , , , , , 
12,1,2,3,4,5,6
1,13,52,131,197,3,4
2,13,0,1,72,70,244
3,0,22,294,0,13,71
4,26,1,0,6,219,148
5,5,3,76,1,43,272
6,0,0,41,168,177,14
 , , , , , , 
13,1,2,3,4,5,6
1,9,52,153,177,4,5
2,7,0,2,67,78,246
3,0,19,300,0,9,72
4,18,1,0,4,217,160
5,2,3,87,2,47,259
6,0,0,41,157,180,22
 , , , , , , 
14,1,2,3,4,5,6
1,9,53,150,181,2,5
2,6,0,9,74,62,249
3,0,14,329,0,4,53
4,19,1,1,6,207,166
5,2,5,128,2,34,229
6,0,0,64,170,143,23
 , , , , , , 
15,1,2,3,4,5,6
1,8,41,138,202,3,8
2,6,0,5,91,88,210
3,0,16,326,0,9,49
4,22,1,0,5,228,144
5,3,7,140,2,53,195
6,0,0,62,158,163,17
 , , , , , , 
16,1,2,3,4,5,6
1,6,39,137,211,3,4
2,8,0,4,76,90,222
3,0,12,332,0,11,45
4,12,1,0,6,238,143
5,4,2,117,0,57,220
6,0,0,64,156,171,9
 , , , , , , 
17,1,2,3,4,5,6
1,9,50,124,202,5,10
2,10,0,6,60,98,226
3,0,19,305,0,12,64
4,12,1,0,3,228,156
5,2,5,102,0,56,235
6,0,0,66,158,161,15
 , , , , , , 
18,1,2,3,4,5,6
1,6,33,145,205,3,8
2,9,0,8,75,68,240
3,0,23,318,0,6,53
4,18,3,0,6,196,177
5,2,6,121,0,35,236
6,1,0,70,152,159,18
 , , , , , , 
19,1,2,3,4,5,6
1,9,32,104,241,6,8
2,6,0,6,62,87,239
3,0,14,316,0,12,58
4,10,0,0,4,229,157
5,1,1,130,0,42,226
6,1,0,62,157,165,15
 , , , , , , 
20,1,2,3,4,5,6
1,8,30,131,220,4,7
2,2,0,11,65,58,264
3,0,18,266,0,9,107
4,9,2,0,7,180,202
5,3,5,87,1,15,289
6,1,0,78,148,148,25
 , , , , , , 
21,1,2,3,4,5,6
1,7,32,104,253,0,4
2,10,0,16,131,60,183
3,0,13,323,0,8,56
4,25,3,1,11,190,170
5,6,7,131,7,35,214
6,0,0,102,175,111,12
 , , , , , , 
22,1,2,3,4,5,6
1,6,45,146,191,2,10
2,6,0,16,52,73,253
3,0,47,271,0,13,69
4,12,7,1,3,202,175
5,3,6,116,0,31,244
6,0,0,110,142,132,16
 , , , , , , 
23,1,2,3,4,5,6
1,6,35,96,255,3,5
2,8,0,10,97,69,216
3,0,14,303,0,11,72
4,23,1,0,9,200,167
5,5,3,135,11,30,216
6,0,0,96,154,141,9
 , , , , , , 
24,1,2,3,4,5,6
1,10,32,79,273,3,3
2,5,0,14,73,135,173
3,0,15,310,0,29,46
4,10,1,1,4,270,114
5,5,5,139,5,35,211
6,1,0,94,129,161,15
 , , , , , , 
25,1,2,3,4,5,6
1,4,50,168,171,2,5
2,0,0,31,37,137,195
3,0,17,332,0,17,34
4,3,1,0,4,248,144
5,0,3,219,0,44,134
6,0,0,132,91,160,17
 , , , , , , 
26,1,2,3,4,5,6
1,10,29,75,273,3,10
2,1,0,17,56,77,249
3,0,20,202,0,29,149
4,7,3,2,10,225,153
5,3,2,88,2,17,288
6,0,0,66,154,143,37
 , , , , , , 
27,1,2,3,4,5,6
1,13,26,68,284,3,6
2,10,0,14,68,118,190
3,0,37,283,0,23,57
4,19,6,0,4,244,127
5,6,9,124,6,31,224
6,0,0,106,126,148,20
 , , , , , , 
28,1,2,3,4,5,6
1,198,30,3,112,7,50
2,141,0,0,23,52,184
3,1,2,0,1,18,378
4,248,0,0,9,38,105
5,17,0,0,2,53,328
6,3,0,0,167,62,168
 , , , , , , 
29,1,2,3,4,5,6
1,1,31,225,142,0,1
2,1,0,87,97,111,104
3,0,20,292,0,28,60
4,14,0,8,44,215,119
5,0,3,141,4,140,112
6,0,0,111,96,180,13
 , , , , , , 
30,1,2,3,4,5,6
1,6,66,56,261,1,10
2,4,0,2,125,109,160
3,0,57,163,1,38,141
4,16,1,0,36,240,107
5,0,5,82,52,93,168
6,0,0,37,212,133,18
 , , , , , , 
31,1,2,3,4,5,6
1,82,32,26,227,29,4
2,1,0,3,42,197,157
3,0,7,204,2,40,147
4,13,0,0,4,292,91
5,0,4,80,1,152,163
6,1,0,10,103,284,2
 , , , , , , 
32,1,2,3,4,5,6
1,1,140,112,143,1,3
2,0,0,6,54,151,189
3,0,52,282,0,33,33
4,1,1,4,27,241,126
5,0,5,146,0,168,81
6,0,0,47,193,120,40
 , , , , , , 
33,1,2,3,4,5,6
1,82,140,6,166,0,6
2,11,1,2,169,83,134
3,0,59,253,0,15,73
4,21,1,4,49,207,118
5,1,4,127,22,133,113
6,0,0,68,170,143,19
 , , , , , , 
34,1,2,3,4,5,6
1,38,48,23,288,0,3
2,1,0,5,89,87,218
3,0,14,258,0,18,110
4,17,1,0,22,209,151
5,0,1,81,8,85,225
6,0,0,36,172,161,31
 , , , , , , 
35,1,2,3,4,5,6
1,24,56,49,270,0,1
2,2,0,16,83,64,235
3,0,13,310,1,7,69
4,14,1,2,22,205,156
5,0,7,137,5,53,198
6,1,0,73,154,153,19
 , , , , , , 
36,1,2,3,4,5,6
1,45,60,32,261,1,1
2,0,0,12,47,126,215
3,0,13,257,0,25,105
4,7,1,0,11,239,142
5,0,4,104,2,94,196
6,0,0,53,148,176,23
 , , , , , , 
37,1,2,3,4,5,6
1,52,52,18,276,0,2
2,1,0,11,53,125,210
3,0,21,255,0,23,101
4,11,0,1,9,223,156
5,0,4,105,2,102,187
6,1,0,50,154,181,14
 , , , , , , 
38,1,2,3,4,5,6
1,35,57,26,281,0,1
2,1,0,18,64,108,209
3,0,13,272,0,14,101
4,8,1,0,12,207,172
5,0,5,123,1,72,199
6,1,0,85,143,158,13
 , , , , , , 
39,1,2,3,4,5,6
1,31,47,28,293,0,1
2,0,0,15,61,100,224
3,0,19,271,0,14,96
4,8,2,1,12,201,176
5,0,7,133,2,60,198
6,2,0,68,159,154,17
 , , , , , , 
40,1,2,3,4,5,6
1,32,37,19,309,1,2
2,4,0,16,47,115,218
3,0,18,266,0,27,89
4,8,2,0,7,210,173
5,0,7,119,2,90,182
6,3,0,59,153,177,8
 , , , , , , 
41,1,2,3,4,5,6
1,21,36,31,311,0,1
2,1,0,16,51,91,241
3,0,11,261,0,20,108
4,4,1,0,16,185,194
5,0,7,122,2,81,188
6,0,0,56,151,173,20
 , , , , , , 
42,1,2,3,4,5,6
1,24,36,18,320,0,2
2,3,0,12,55,123,207
3,0,19,228,1,32,120
4,6,1,0,10,208,175
5,0,8,115,2,92,183
6,0,0,59,145,180,16
 , , , , , , 
43,1,2,3,4,5,6
1,33,37,16,313,0,1
2,0,0,8,51,110,231
3,0,17,228,1,33,121
4,6,2,0,9,195,188
5,0,10,112,2,76,200
6,1,0,40,120,223,16
 , , , , , , 
44,1,2,3,4,5,6
1,18,34,23,323,0,2
2,0,0,21,56,81,242
3,0,15,252,1,23,109
4,5,2,0,14,180,199
5,0,11,129,1,58,201
6,0,1,92,164,124,19
 , , , , , , 
45,1,2,3,4,5,6
1,43,33,15,306,0,3
2,2,0,7,50,79,262
3,0,20,199,0,22,159
4,11,2,0,10,147,230
5,1,12,88,2,51,246
6,2,0,36,130,205,27
 , , , , , , 
46,1,2,3,4,5,6
1,9,20,22,346,0,3
2,1,0,25,82,71,221
3,0,15,276,0,12,97
4,3,2,0,15,162,218
5,0,11,146,1,38,204
6,1,0,76,141,171,11
 , , , , , , 
