1,1,2,3,4,5,6
1,77,120,50,40,49,64
2,93,87,26,76,67,51
3,37,145,90,39,34,55
4,88,94,29,70,59,60
5,68,119,68,51,39,55
6,123,58,18,80,66,55
 , , , , , , 
2,1,2,3,4,5,6
1,9,166,150,15,17,43
2,112,38,32,122,47,49
3,2,143,205,5,15,30
4,88,48,31,125,65,43
5,24,91,139,27,33,86
6,132,23,14,129,53,49
 , , , , , , 
3,1,2,3,4,5,6
1,4,208,66,0,47,75
2,125,2,0,190,40,43
3,1,150,89,0,45,115
4,103,5,2,156,63,71
5,4,109,84,1,59,143
6,115,0,0,162,54,69
 , , , , , , 
4,1,2,3,4,5,6
1,2,155,80,1,71,91
2,102,0,1,160,37,100
3,0,109,225,0,20,46
4,81,2,0,123,85,109
5,1,34,102,1,106,156
6,75,2,3,77,107,136
 , , , , , , 
5,1,2,3,4,5,6
1,1,81,115,0,106,97
2,11,0,0,208,53,128
3,0,40,322,0,6,32
4,33,0,2,128,46,191
5,0,6,138,1,56,199
6,5,0,10,111,211,63
 , , , , , , 
6,1,2,3,4,5,6
1,2,20,180,1,136,61
2,5,0,0,170,35,190
3,0,11,369,0,2,18
4,19,0,1,99,68,213
5,0,6,163,0,23,208
6,0,0,29,86,206,79
 , , , , , , 
7,1,2,3,4,5,6
1,2,12,72,3,276,35
2,10,0,0,222,69,99
3,0,31,306,0,15,48
4,30,1,1,101,126,141
5,1,12,94,0,21,272
6,0,0,11,107,255,27
 , , , , , , 
8,1,2,3,4,5,6
1,2,69,55,1,237,36
2,8,0,1,203,71,117
3,0,33,315,0,13,39
4,23,2,0,101,154,120
5,0,15,125,0,5,255
6,0,0,20,94,243,43
 , , , , , , 
9,1,2,3,4,5,6
1,1,60,58,3,245,33
2,9,0,1,183,61,146
3,0,51,294,0,15,40
4,32,2,0,93,147,126
5,0,39,138,1,9,213
6,0,0,26,93,246,35
 , , , , , , 
10,1,2,3,4,5,6
1,1,34,87,2,236,40
2,2,0,1,189,104,104
3,0,13,369,0,9,9
4,8,3,4,112,190,83
5,0,20,173,1,6,200
6,0,0,17,93,278,12
 , , , , , , 
11,1,2,3,4,5,6
1,2,28,57,4,275,34
2,9,0,0,180,100,111
3,0,32,325,0,18,25
4,24,4,0,93,183,96
5,0,21,126,0,13,240
6,0,0,17,81,290,12
 , , , , , , 
12,1,2,3,4,5,6
1,3,28,44,3,289,33
2,1,1,1,140,84,173
3,0,19,351,0,8,22
4,9,3,4,75,202,107
5,0,22,150,0,2,226
6,0,0,25,67,283,25
 , , , , , , 
13,1,2,3,4,5,6
1,1,48,54,1,251,45
2,4,0,1,178,80,137
3,0,23,328,0,11,38
4,17,0,2,107,176,98
5,0,13,118,0,6,263
6,0,0,25,79,274,22
 , , , , , , 
14,1,2,3,4,5,6
1,2,57,50,2,250,39
2,12,1,1,182,81,123
3,0,34,291,0,18,57
4,44,2,0,92,177,85
5,0,36,105,0,8,251
6,0,0,22,79,269,30
 , , , , , , 
15,1,2,3,4,5,6
1,2,79,43,1,231,44
2,18,0,1,170,77,134
3,0,36,286,0,21,57
4,44,2,0,85,177,92
5,1,30,103,0,4,262
6,0,0,21,70,288,21
 , , , , , , 
16,1,2,3,4,5,6
1,1,25,80,2,252,40
2,1,0,7,155,64,173
3,0,4,376,0,2,18
4,6,2,10,108,168,106
5,0,9,175,0,2,214
6,0,0,38,70,280,12
 , , , , , , 
17,1,2,3,4,5,6
